username,frequency,avg_message_length,total_messages,url_ratio,repetition_ratio,time_in_channel,suspicious_links,generic_name,is_bot,collection_date,data_version
IBAUTI_59,20.97,28.1,45,0.387,0.417,170.8,0,0,0,2025-10-20,1.0
user8083_60,119.27,21.6,151,0.613,0.938,56.8,0,1,1,2025-10-20,1.0
player879_61,27.7,44.0,48,0.551,0.662,22.6,1,1,1,2025-10-20,1.0
Epiczz_62,32.78,56.7,32,0.148,0.324,42.8,0,0,0,2025-10-20,1.0
viewer3636_63,35.3,42.5,37,0.462,0.621,61.9,1,1,1,2025-10-20,1.0
rodrigo_750_64,31.73,25.8,27,0.219,0.456,158.3,0,0,0,2025-10-20,1.0
DarkPro957_65,2.96,60.3,46,0.088,0.129,21.2,0,0,0,2025-10-20,1.0
Ultra2025_66,15.05,95.0,11,0.004,0.167,123.2,0,0,0,2025-10-20,1.0
Gamerxx_67,26.67,81.5,41,0.164,0.087,102.2,0,0,0,2025-10-20,1.0
Vity2025_68,31.87,37.9,23,0.497,0.677,50.3,0,0,1,2025-10-20,1.0
Wildxx_69,23.59,45.3,34,0.267,0.28,36.3,0,0,0,2025-10-20,1.0
guest3721_70,97.27,20.0,134,0.569,0.881,103.6,0,1,1,2025-10-20,1.0
player148_71,47.3,14.2,104,0.986,0.726,60.4,1,1,1,2025-10-20,1.0
bot901_72,152.75,16.1,211,0.985,0.636,82.3,1,1,1,2025-10-20,1.0
guest8714_73,27.14,45.3,44,0.47,0.585,30.3,1,1,1,2025-10-20,1.0
Crazyxx_74,31.05,49.5,39,0.528,0.564,27.5,1,0,1,2025-10-20,1.0
Anii_tha_75,22.1,19.9,27,0.149,0.209,154.5,0,0,0,2025-10-20,1.0
liliangiuliana17_76,21.75,87.6,40,0.089,0.204,123.5,1,0,0,2025-10-20,1.0
Shadow2025793_77,8.03,26.6,27,0.019,0.307,132.3,0,0,0,2025-10-20,1.0
user9685_78,118.96,18.5,242,0.699,0.795,34.1,0,1,1,2025-10-20,1.0
bot593_79,90.9,36.0,298,0.876,0.634,38.2,1,1,1,2025-10-20,1.0
Chaufitabsd_80,23.52,59.0,44,0.134,0.414,67.0,0,0,0,2025-10-20,1.0
LordPro_81,29.04,20.8,44,0.06,0.379,68.2,0,0,0,2025-10-20,1.0
user9399_82,32.32,48.9,40,0.474,0.644,74.1,0,1,1,2025-10-20,1.0
mampano20_83,14.53,97.5,27,0.095,0.103,16.4,0,0,0,2025-10-20,1.0
guest9932_84,48.27,25.9,175,0.819,0.876,117.2,1,1,1,2025-10-20,1.0
Davidxx00_85,19.95,58.0,11,0.228,0.083,128.2,0,0,0,2025-10-20,1.0
JAC187_86,26.98,51.6,69,0.293,0.408,113.5,0,0,0,2025-10-20,1.0
KingStream474_87,21.23,76.8,19,0.212,0.215,89.8,0,0,0,2025-10-20,1.0
test1832_88,35.63,35.3,46,0.488,0.529,81.1,0,1,1,2025-10-20,1.0
test7799_89,196.97,29.9,250,0.875,0.866,40.3,1,1,1,2025-10-20,1.0
test3924_90,33.81,32.0,44,0.512,0.634,76.2,1,1,1,2025-10-20,1.0
Wjeiner_91,198.04,19.8,136,0.802,0.905,59.0,1,0,1,2025-10-20,1.0
Super__92,46.08,32.4,178,0.529,0.859,58.7,1,0,1,2025-10-20,1.0
juss10_93,21.49,57.8,50,0.103,0.261,162.0,0,0,0,2025-10-20,1.0
test2797_94,122.51,24.9,78,0.554,0.92,75.6,1,1,1,2025-10-20,1.0
guest2132_95,88.25,15.6,112,0.547,0.655,17.0,1,1,1,2025-10-20,1.0
Pro__96,31.66,62.9,68,0.134,0.374,147.6,0,0,0,2025-10-20,1.0
bot437_97,37.6,51.7,46,0.424,0.698,36.8,1,1,1,2025-10-20,1.0
test3295_98,142.85,34.3,285,0.669,0.875,67.0,1,1,1,2025-10-20,1.0
user5776_99,171.97,25.5,155,0.523,0.71,112.1,1,1,1,2025-10-20,1.0
viewer5284_100,160.64,11.1,136,0.965,0.648,89.8,0,1,1,2025-10-20,1.0
guest5917_101,55.62,15.0,279,0.911,0.735,80.4,1,1,1,2025-10-20,1.0
alisandraq_102,24.52,44.5,48,0.355,0.479,188.0,0,0,0,2025-10-20,1.0
jjy7_103,27.76,24.2,21,0.299,0.293,172.0,0,0,0,2025-10-20,1.0
CDanQui_W_104,25.63,61.6,42,0.17,0.303,42.1,0,0,0,2025-10-20,1.0
guest6024_105,35.4,35.1,24,0.443,0.621,60.3,0,1,1,2025-10-20,1.0
Zell10_106,33.45,17.1,26,0.28,0.439,157.8,0,0,0,2025-10-20,1.0
guest5060_107,101.18,23.3,131,0.684,0.8,98.0,1,1,1,2025-10-20,1.0
Saraivargas_108,9.01,92.4,30,0.033,0.071,17.0,0,0,0,2025-10-20,1.0
farruk1978_109,11.43,75.5,30,0.039,0.183,55.6,0,0,0,2025-10-20,1.0
Adrieldlc_110,130.02,32.9,222,0.604,0.816,104.8,1,0,1,2025-10-20,1.0
SuperYT_111,36.98,54.1,29,0.457,0.557,58.6,0,0,1,2025-10-20,1.0
patico7_112,17.51,93.1,4,0.003,0.183,32.4,0,0,0,2025-10-20,1.0
Shadow__113,2.9,33.3,35,0.064,0.343,20.0,0,0,0,2025-10-20,1.0
bot320_114,27.91,40.4,27,0.402,0.668,22.6,0,1,1,2025-10-20,1.0
GamerXD_115,14.64,113.8,8,0.064,0.012,83.8,0,0,0,2025-10-20,1.0
LadyLive_116,35.06,38.7,35,0.518,0.644,79.6,1,0,1,2025-10-20,1.0
Suscriptor_117,11.96,99.1,26,0.038,0.296,77.5,0,0,0,2025-10-20,1.0
test5782_118,37.67,56.9,24,0.542,0.52,22.7,1,1,1,2025-10-20,1.0
player519_119,188.33,11.8,282,0.676,0.639,60.9,1,1,1,2025-10-20,1.0
guest3855_120,25.74,35.7,42,0.491,0.56,50.7,0,1,1,2025-10-20,1.0
user4923_121,35.0,38.5,35,0.517,0.589,86.9,1,1,1,2025-10-20,1.0
viewer9479_122,199.51,31.6,107,0.94,0.619,31.6,0,1,1,2025-10-20,1.0
stephanycl_123,20.75,33.8,34,0.294,0.213,46.4,0,0,0,2025-10-20,1.0
UltraStream358_124,32.89,45.4,34,0.38,0.439,39.5,0,0,0,2025-10-20,1.0
meliii234_125,31.73,33.1,31,0.199,0.375,149.6,0,0,0,2025-10-20,1.0
Queenxx518_126,23.61,109.8,18,0.298,0.041,19.0,0,0,0,2025-10-20,1.0
FireTTV_127,21.27,71.3,25,0.194,0.223,119.5,0,0,0,2025-10-20,1.0
luchoovl2_128,69.64,18.4,89,0.591,0.914,37.9,0,0,1,2025-10-20,1.0
user3387_129,144.94,16.0,115,0.612,0.626,100.2,1,1,1,2025-10-20,1.0
Gamer123933_130,27.68,69.0,44,0.227,0.276,169.1,0,0,0,2025-10-20,1.0
Sebaschar_131,13.35,76.9,40,0.209,0.398,12.3,0,0,0,2025-10-20,1.0
Pro__132,31.81,51.6,18,0.569,0.647,36.9,1,0,1,2025-10-20,1.0
player784_133,50.88,15.4,288,0.945,0.848,57.9,1,1,1,2025-10-20,1.0
RossiDC_134,14.79,61.1,29,0.073,0.021,169.7,0,0,0,2025-10-20,1.0
player660_135,159.14,38.9,223,0.996,0.865,38.8,1,1,1,2025-10-20,1.0
DarkPlays_136,23.34,117.3,4,0.086,0.078,11.9,0,0,0,2025-10-20,1.0
viewer5911_137,117.0,34.3,286,0.511,0.973,14.9,0,1,1,2025-10-20,1.0
Megazz_138,16.47,41.3,28,0.251,0.246,117.7,0,0,0,2025-10-20,1.0
bot903_139,123.35,28.7,54,0.878,0.649,100.0,1,1,1,2025-10-20,1.0
test2645_140,26.18,40.7,41,0.51,0.663,96.8,0,1,1,2025-10-20,1.0
mikeee25AA_141,20.08,91.2,46,0.075,0.245,78.1,1,0,0,2025-10-20,1.0
user5206_142,92.4,13.6,270,0.797,0.858,95.8,1,1,1,2025-10-20,1.0
Wjeiner_143,8.14,92.1,32,0.03,0.37,104.9,0,0,0,2025-10-20,1.0
user3419_144,121.12,27.2,281,0.929,0.665,55.2,1,1,1,2025-10-20,1.0
player186_145,27.16,59.2,36,0.547,0.522,89.0,0,1,1,2025-10-20,1.0
chelu12_146,14.08,107.0,45,0.251,0.019,171.1,0,0,0,2025-10-20,1.0
Jsaints_147,20.57,46.8,50,0.369,0.465,102.2,0,0,0,2025-10-20,1.0
Evvv_fly_148,28.55,42.5,49,0.149,0.309,10.4,0,0,0,2025-10-20,1.0
Meli_ssa3_149,25.07,83.8,5,0.196,0.365,74.5,0,0,0,2025-10-20,1.0
Shadow123_150,18.03,27.0,28,0.173,0.086,90.1,0,0,0,2025-10-20,1.0
Kingxx_151,28.82,39.1,55,0.23,0.428,169.6,0,0,0,2025-10-20,1.0
KarlonchoCR6_152,28.49,91.2,37,0.15,0.19,28.7,0,0,0,2025-10-20,1.0
TP_ROSARIO112_153,21.37,18.6,41,0.387,0.495,64.4,0,0,0,2025-10-20,1.0
user4554_154,150.36,14.3,190,0.586,0.952,12.9,1,1,1,2025-10-20,1.0
player372_155,59.28,31.9,82,0.558,0.76,96.5,1,1,1,2025-10-20,1.0
JAC187_156,9.25,27.0,22,0.139,0.103,133.7,1,0,0,2025-10-20,1.0
test5330_157,33.66,36.6,24,0.561,0.509,99.4,1,1,1,2025-10-20,1.0
viewer4789_158,112.02,37.8,208,0.694,0.65,35.2,1,1,1,2025-10-20,1.0
player197_159,107.53,20.6,288,0.592,0.634,93.7,1,1,1,2025-10-20,1.0
ivani97_160,39.04,37.0,17,0.452,0.504,22.9,0,0,1,2025-10-20,1.0
player605_161,107.43,36.8,250,0.671,0.699,48.7,1,1,1,2025-10-20,1.0
liliangiuliana17_162,31.69,30.3,58,0.36,0.464,163.2,0,0,0,2025-10-20,1.0
CrazyLive_163,27.05,39.0,19,0.184,0.038,70.3,0,0,0,2025-10-20,1.0
LadyGaming_164,23.52,42.2,15,0.073,0.397,43.6,0,0,0,2025-10-20,1.0
Kamilozkt_165,11.21,70.8,4,0.094,0.328,104.2,0,0,0,2025-10-20,1.0
kaozkari_166,29.12,55.6,44,0.246,0.488,154.6,0,0,0,2025-10-20,1.0
guest9989_167,68.46,20.6,148,0.535,0.82,73.7,1,1,1,2025-10-20,1.0
Jeronimo1208_168,9.11,62.2,39,0.292,0.024,148.1,0,0,0,2025-10-20,1.0
Iamjesmar_169,3.5,90.9,28,0.143,0.089,130.0,0,0,0,2025-10-20,1.0
mejia666_170,23.25,115.3,5,0.179,0.171,66.2,1,0,0,2025-10-20,1.0
fabiuhhh_171,22.76,79.9,5,0.233,0.153,66.2,0,0,0,2025-10-20,1.0
Yael912j_172,20.0,65.8,43,0.278,0.01,18.8,0,0,0,2025-10-20,1.0
player584_173,56.49,19.4,248,0.981,0.9,84.4,1,1,1,2025-10-20,1.0
UltraPro_174,2.61,98.5,6,0.297,0.27,138.1,0,0,0,2025-10-20,1.0
Lord2024_175,22.27,110.5,40,0.175,0.269,178.3,1,0,0,2025-10-20,1.0
Sheri_net_176,19.67,41.1,11,0.141,0.355,89.6,0,0,0,2025-10-20,1.0
meliii234_177,20.81,29.9,20,0.231,0.283,16.8,0,0,0,2025-10-20,1.0
JUANCHIMBO_178,28.37,106.5,26,0.042,0.087,120.1,0,0,0,2025-10-20,1.0
Fire2024_179,5.13,64.1,19,0.067,0.257,171.7,0,0,0,2025-10-20,1.0
EpicPro_180,19.63,87.4,12,0.251,0.116,41.7,0,0,0,2025-10-20,1.0
viewer8811_181,27.46,33.7,49,0.479,0.545,33.7,0,1,1,2025-10-20,1.0
LordPlays987_182,7.3,56.1,43,0.127,0.366,94.6,0,0,0,2025-10-20,1.0
patico7_183,33.3,30.3,39,0.475,0.689,85.4,1,0,1,2025-10-20,1.0
Queen__184,24.41,72.3,11,0.031,0.172,67.4,0,0,0,2025-10-20,1.0
viewer798_185,129.9,17.2,213,0.87,0.691,48.4,1,1,1,2025-10-20,1.0
chelu12_186,16.57,113.1,46,0.291,0.05,37.3,0,0,0,2025-10-20,1.0
UltraPro315_187,4.07,40.3,7,0.019,0.107,107.2,0,0,0,2025-10-20,1.0
HaroldSkn_188,29.13,69.0,35,0.166,0.383,169.1,0,0,0,2025-10-20,1.0
bot709_189,108.5,11.8,90,0.682,0.767,117.4,0,1,1,2025-10-20,1.0
sindyic_190,84.59,38.8,68,0.79,0.707,37.1,1,0,1,2025-10-20,1.0
MegaLive_191,23.07,40.9,12,0.193,0.183,144.7,1,0,0,2025-10-20,1.0
Ladyxx_192,28.18,76.5,31,0.021,0.346,58.5,0,0,0,2025-10-20,1.0
MENDOO0405_193,26.09,118.4,26,0.137,0.03,12.2,0,0,0,2025-10-20,1.0
viewer614_194,179.36,31.4,246,0.67,0.91,14.2,0,1,1,2025-10-20,1.0
Soplonazo_195,19.78,58.7,45,0.291,0.069,47.9,0,0,0,2025-10-20,1.0
Juniorxito1999_196,19.2,40.6,9,0.036,0.251,10.0,1,0,0,2025-10-20,1.0
bri_hidalgo25_197,26.93,56.6,45,0.237,0.205,59.6,0,0,0,2025-10-20,1.0
Fabrizzio2008_198,12.88,102.1,24,0.181,0.358,157.3,0,0,0,2025-10-20,1.0
WildPro_199,25.12,89.8,6,0.125,0.224,41.9,0,0,0,2025-10-20,1.0
PaolaArone_200,24.23,66.5,28,0.299,0.16,114.6,0,0,0,2025-10-20,1.0
viewer364_201,139.42,26.8,199,0.766,0.841,56.7,1,1,1,2025-10-20,1.0
KingTTV_202,21.67,114.3,15,0.132,0.318,113.6,0,0,0,2025-10-20,1.0
guest6451_203,183.63,30.2,66,0.997,0.8,50.1,1,1,1,2025-10-20,1.0
Perruko96_204,28.6,62.9,6,0.036,0.309,21.5,0,0,0,2025-10-20,1.0
KingPlays_205,17.5,56.2,20,0.264,0.016,178.0,0,0,0,2025-10-20,1.0
Darcka0_206,28.54,39.3,54,0.149,0.219,175.3,0,0,0,2025-10-20,1.0
guest2259_207,88.49,29.1,124,0.964,0.625,68.2,1,1,1,2025-10-20,1.0
alphatx_208,22.73,77.5,57,0.325,0.331,48.7,0,0,0,2025-10-20,1.0
Ysatime2_209,2.91,47.9,27,0.167,0.198,79.7,0,0,0,2025-10-20,1.0
LadyLive_210,34.91,22.2,51,0.305,0.48,162.6,0,0,0,2025-10-20,1.0
viewer8110_211,160.38,33.7,243,0.546,0.788,11.6,1,1,1,2025-10-20,1.0
stephanycl_212,21.56,45.7,29,0.16,0.055,110.5,0,0,0,2025-10-20,1.0
ProYT_213,12.51,64.7,40,0.241,0.288,13.8,0,0,0,2025-10-20,1.0
bot827_214,198.87,33.3,90,0.588,0.929,56.1,1,1,1,2025-10-20,1.0
Mega123_215,4.15,100.0,46,0.262,0.137,65.4,1,0,0,2025-10-20,1.0
iDiegod_216,28.48,94.8,37,0.014,0.22,89.4,0,0,0,2025-10-20,1.0
alphatx_217,26.53,87.7,33,0.064,0.047,80.6,0,0,0,2025-10-20,1.0
MENDOO0405_218,22.35,119.9,49,0.223,0.296,52.1,0,0,0,2025-10-20,1.0
viewer4957_219,126.63,14.6,179,0.771,0.89,100.9,1,1,1,2025-10-20,1.0
JAC187_220,16.17,59.9,8,0.125,0.029,26.8,0,0,0,2025-10-20,1.0
PaolaArone_221,18.84,36.3,28,0.257,0.206,126.2,1,0,0,2025-10-20,1.0
player552_222,50.01,16.3,248,0.573,0.73,104.4,1,1,1,2025-10-20,1.0
user6569_223,151.62,33.9,154,0.921,0.892,12.6,1,1,1,2025-10-20,1.0
Queenxx_224,104.24,33.8,89,0.593,0.961,29.1,1,0,1,2025-10-20,1.0
UnderIron_225,36.89,36.8,38,0.451,0.677,64.9,1,0,1,2025-10-20,1.0
juanitinelli_226,20.7,62.9,23,0.02,0.161,140.0,0,0,0,2025-10-20,1.0
WildLive_227,20.31,88.1,38,0.151,0.358,169.2,0,0,0,2025-10-20,1.0
viewer7751_228,127.84,16.6,39,0.607,0.758,92.4,1,1,1,2025-10-20,1.0
ShadowPro805_229,4.99,101.7,33,0.152,0.137,41.3,0,0,0,2025-10-20,1.0
kaozkari_230,14.93,119.9,42,0.222,0.348,117.8,0,0,0,2025-10-20,1.0
user9342_231,41.45,27.7,195,0.819,0.692,87.1,1,1,1,2025-10-20,1.0
bot910_232,103.57,33.9,70,0.615,0.874,87.8,1,1,1,2025-10-20,1.0
Fiorella0208_233,3.24,52.2,29,0.155,0.262,99.7,0,0,0,2025-10-20,1.0
viewer4377_234,84.09,20.0,219,0.883,0.953,28.6,1,1,1,2025-10-20,1.0
Andresjr_11_235,4.07,37.5,44,0.183,0.38,179.8,0,0,0,2025-10-20,1.0
iracund_236,11.55,49.7,14,0.249,0.272,50.1,0,0,0,2025-10-20,1.0
user8942_237,180.39,33.2,211,0.516,0.803,9.3,0,1,1,2025-10-20,1.0
Taxista_de_Tao_238,25.12,69.5,19,0.096,0.345,43.4,0,0,0,2025-10-20,1.0
test3581_239,82.91,20.8,140,0.84,0.622,9.0,1,1,1,2025-10-20,1.0
ProPlays253_240,7.71,114.6,6,0.064,0.032,176.7,0,0,0,2025-10-20,1.0
Rosioz_241,12.48,38.3,6,0.068,0.213,128.3,0,0,0,2025-10-20,1.0
player732_242,55.47,23.5,234,0.674,0.853,96.5,0,1,1,2025-10-20,1.0
ProYT_243,12.84,76.3,40,0.128,0.093,179.1,0,0,0,2025-10-20,1.0
guest1990_244,96.03,30.3,234,0.507,0.679,87.0,1,1,1,2025-10-20,1.0
bot819_245,71.11,12.8,140,0.582,0.684,41.5,1,1,1,2025-10-20,1.0
Ultraxx223_246,26.45,57.3,42,0.129,0.161,14.8,0,0,0,2025-10-20,1.0
user4439_247,37.09,38.7,38,0.485,0.678,87.6,1,1,1,2025-10-20,1.0
Megazz_248,16.47,42.5,22,0.263,0.211,66.8,0,0,0,2025-10-20,1.0
Lady123_249,11.56,99.7,43,0.187,0.139,115.2,0,0,0,2025-10-20,1.0
Masterxx_250,34.24,79.3,46,0.24,0.393,124.5,0,0,0,2025-10-20,1.0
EL_SOBA_NALGAS_251,17.75,76.0,10,0.084,0.209,57.1,0,0,0,2025-10-20,1.0
Superxx_252,25.36,67.6,49,0.132,0.26,18.6,0,0,0,2025-10-20,1.0
HaroldSkn_253,7.66,58.8,26,0.089,0.308,77.0,0,0,0,2025-10-20,1.0
gianiitt_254,30.58,68.9,64,0.293,0.467,121.0,0,0,0,2025-10-20,1.0
bot557_255,81.97,19.4,255,0.525,0.777,48.7,1,1,1,2025-10-20,1.0
Giandrex_256,14.37,84.5,31,0.105,0.178,20.9,0,0,0,2025-10-20,1.0
test7103_257,177.2,12.9,220,0.673,0.603,51.4,1,1,1,2025-10-20,1.0
jjy7_258,20.6,109.9,37,0.213,0.153,164.9,0,0,0,2025-10-20,1.0
RossiDC_259,21.44,103.2,22,0.268,0.047,130.5,0,0,0,2025-10-20,1.0
Camilonia22_260,28.13,69.8,48,0.111,0.209,132.9,0,0,0,2025-10-20,1.0
user2174_261,97.05,37.4,40,0.756,0.859,112.1,1,1,1,2025-10-20,1.0
player177_262,128.28,17.6,82,0.753,0.826,44.0,1,1,1,2025-10-20,1.0
Masterzz708_263,26.94,54.2,24,0.269,0.109,165.6,0,0,0,2025-10-20,1.0
Tatar2001_7_264,28.03,55.8,66,0.154,0.289,195.9,0,0,0,2025-10-20,1.0
Antonella_12ofic_265,3.97,78.0,36,0.028,0.254,58.7,0,0,0,2025-10-20,1.0
JAC187_266,6.25,28.2,23,0.248,0.189,151.0,0,0,0,2025-10-20,1.0
LordGaming_267,32.16,51.9,29,0.212,0.273,118.0,0,0,0,2025-10-20,1.0
player792_268,136.51,12.4,214,0.966,0.819,19.5,1,1,1,2025-10-20,1.0
Crazyzz_269,9.78,119.7,44,0.154,0.33,148.7,0,0,0,2025-10-20,1.0
Crazy2024_270,29.05,80.4,38,0.281,0.237,12.1,1,0,0,2025-10-20,1.0
Dark2024_271,23.55,80.4,49,0.08,0.025,15.5,0,0,0,2025-10-20,1.0
bot286_272,77.04,36.1,280,0.71,0.619,9.5,1,1,1,2025-10-20,1.0
user6873_273,26.69,47.3,16,0.505,0.677,87.0,0,1,1,2025-10-20,1.0
iloveyomar_274,19.44,35.4,19,0.053,0.118,114.6,0,0,0,2025-10-20,1.0
samlopez_275,19.41,69.6,17,0.036,0.164,14.8,0,0,0,2025-10-20,1.0
ThuZambito_69_276,5.73,72.3,37,0.166,0.098,70.1,0,0,0,2025-10-20,1.0
test9386_277,154.36,18.8,171,0.849,0.942,96.1,1,1,1,2025-10-20,1.0
Gamerzz_278,3.56,34.9,30,0.222,0.031,166.5,0,0,0,2025-10-20,1.0
KingXD301_279,12.08,66.5,35,0.265,0.083,166.1,0,0,0,2025-10-20,1.0
test2151_280,35.26,40.8,38,0.408,0.578,83.3,0,1,1,2025-10-20,1.0
guest7794_281,28.23,38.8,21,0.476,0.682,69.2,1,1,1,2025-10-20,1.0
Jos_2020_282,21.29,87.1,10,0.002,0.301,28.1,1,0,0,2025-10-20,1.0
viewer3621_283,46.23,35.1,197,0.782,0.837,104.4,1,1,1,2025-10-20,1.0
Super123655_284,26.68,78.6,39,0.075,0.271,163.4,0,0,0,2025-10-20,1.0
player965_285,178.43,37.5,262,0.518,0.899,52.3,0,1,1,2025-10-20,1.0
Pro__286,31.72,38.2,28,0.478,0.557,41.5,0,0,1,2025-10-20,1.0
Jeronimo1208_287,171.92,14.4,254,0.77,0.921,54.6,1,0,1,2025-10-20,1.0
franc1sco21_288,25.07,68.1,34,0.13,0.223,19.9,0,0,0,2025-10-20,1.0
MENDOO0405_289,13.69,95.8,21,0.248,0.107,57.2,0,0,0,2025-10-20,1.0
alphatx_290,21.94,78.0,7,0.208,0.067,143.7,0,0,0,2025-10-20,1.0
guest5698_291,70.12,15.5,45,0.794,0.919,7.0,1,1,1,2025-10-20,1.0
viewer5896_292,107.47,14.0,273,0.846,0.86,99.6,1,1,1,2025-10-20,1.0
user3941_293,194.76,31.5,288,0.714,0.781,108.3,1,1,1,2025-10-20,1.0
bot787_294,182.1,19.8,273,0.998,0.914,102.2,1,1,1,2025-10-20,1.0
user9659_295,168.94,11.7,257,0.526,0.607,85.2,0,1,1,2025-10-20,1.0
